,TLT.OPEN,TLT.HIGH,TLT.LOW,TLT.CLOSE
2008-09-03,94.27,94.89,94.26,94.77
2008-09-04,95,95.5574,94.81,95.526
2008-09-05,96.02,96.31,95.41,95.48
2008-09-08,94.9,95.88,94.56,95.88
2008-09-09,95.83,96.88,95.54,96.83
2008-09-10,95.98,96.66,95.82,96.23
2008-09-11,96.79,96.86,96,96.18
2008-09-12,96.21,96.33,94.75,94.94
2008-09-15,96.28,98.17,96.07,98.02
2008-09-16,100.71,100.86,97.91,98
2008-09-17,98.92,99.38,97.73,98.49
2008-09-18,97.95,98.49,96.92,97.05
2008-09-19,93.86,95.02,93.7,93.97
2008-09-22,92.93,93.96,92.6,93.96
2008-09-23,93.61,94.1,93.13,93.6
2008-09-24,93.97,94.75,93.6,94.01
2008-09-25,94.59,94.59,93.15,93.82
2008-09-26,94.07,94.79,94.07,94.5
2008-09-29,95.17,97.93,95.16,97.25
2008-09-30,97.04,97.2899,94.6,94.88
2008-10-01,96.04,96.9,94.95,95.78
2008-10-02,96.57,96.845,96.068,96.55
2008-10-03,97.38,97.79,95.49,97.4
2008-10-06,98.74,99.86,98.62,99.17
2008-10-07,98.32,99.67,97.98,98.87
2008-10-08,99.68,99.94,96.68,97.45
2008-10-09,97.37,97.698,96.22,96.63
2008-10-10,96.61,96.91,95.51,95.95
2008-10-13,95.11,95.95,94.26,94.72
2008-10-14,94.25,95.26,93.9,94.11
2008-10-15,94.12,95.04,93.42,95.01
2008-10-16,94.99,95.27,94.18,94.519
2008-10-17,94.69,94.9,93.02,93.87
2008-10-20,93.44,94.94,93.36,94.62
2008-10-21,95.09,95.99,94.74,95.12
2008-10-22,96.12,97.49,95.85,97.05
2008-10-23,97.95,98.89,96.82,97.77
2008-10-24,98.82,99.05,96.45,96.73
2008-10-27,97.77,98.21,96.29,96.8
2008-10-28,96.18,96.9,95.15,95.39
2008-10-29,95.77,96.01,94.43,94.91
2008-10-30,94.5,94.8,93.8,94.05
2008-10-31,94.64,94.92,92.65,92.83
2008-11-03,92.72,93.11,92.35,92.71
2008-11-04,92.96,94.71,92.59,94.45
2008-11-05,94.89,95.67,94.4001,95.57
2008-11-06,94.6,95.05,93.81,94.88
2008-11-07,94.52,94.52,93.55,94.26
2008-11-10,93.8,95.1,93.68,94.7199
2008-11-11,95.21,95.81,94.96,95.0001
2008-11-12,95.58,96.07,95.16,95.61
2008-11-13,94.91,95.25,93.25,93.32
2008-11-14,95.11,95.46,94.79,95.17
2008-11-17,95.68,96.03,95.29,95.59
2008-11-18,96.38,97,95.96,96.82
2008-11-19,97.47,99.37,97.21,99.3
2008-11-20,101.82,104.44,101.1,104.43
2008-11-21,103.25,103.98,101.45,102.92
2008-11-24,102.15,102.2922,101,101.31
2008-11-25,103.95,104.47,102.68,104.29
2008-11-26,104.72,105.62,104.09,104.43
2008-11-28,105.25,105.97,104.94,105.72
2008-12-01,107.75,110.41,107.13,109.4
2008-12-02,108.56,110.37,108.19,109.82
2008-12-03,110.27,110.81,108.56,110.13
2008-12-04,111.13,112.4912,110.37,112.3
2008-12-05,111.95,113,110.42,110.48
2008-12-08,110.48,111.25,109.69,110.24
2008-12-09,110.58,112.53,110.25,112.42
2008-12-10,111.37,112.15,111.12,112.15
2008-12-11,112.18,112.43,110.87,112.37
2008-12-12,112.54,112.56,110.34,112.37
2008-12-15,112.35,113.94,112.05,113.65
2008-12-16,114.1,116.9,113.97,116.46
2008-12-17,120.77,121.13,119.26,119.62
2008-12-18,120.74,123.15,120.45,122.13
2008-12-19,121.44,122.99,121.28,122.26
2008-12-22,122.39,122.39,120.73,121.32
2008-12-23,120.14,121.5,119.9,121.16
2008-12-24,120.73,121.32,120.62,120.9
2008-12-26,121.59,121.9699,121.2,121.3
2008-12-29,121.43,122.01,120.61,120.75
2008-12-30,120.49,121.92,120.07,121.9
2008-12-31,121.41,122,118.85,119.35
2009-01-02,120.05,120.45,116.35,116.35
2009-01-05,115.6,116.16,112.6,113.35
2009-01-06,111.62,113.26,111,112.21
2009-01-07,111.96,112.68,111.4,112.65
2009-01-08,112.64,112.92,111.99,112.56
2009-01-09,111.46,113.35,111.27,112.73
2009-01-12,111.57,114.05,111.57,113.9
2009-01-13,113.5,114.08,112.96,114.02
2009-01-14,114.65,116.04,114.65,115.9
2009-01-15,116.2,116.92,115.5766,116.09
2009-01-16,113.42,116.09,113.3601,114.3
2009-01-20,112.29,114.63,112.23,114.28
2009-01-21,111.93,113.04,110.4,110.67
2009-01-22,110.6,110.77,107.88,108.54
2009-01-23,107.92,108.32,106.69,107.69
2009-01-26,107.43,107.82,106.3,106.75
2009-01-27,107.8,109.59,107.63,109.26
2009-01-28,109.31,109.81,105.72,106.53
2009-01-29,105.56,106.31,103.66,104.08
2009-01-30,104.55,104.87,103.44,103.75
2009-02-02,104.02,105.68,103.39,105.39
2009-02-03,104.3,104.83,102.75,102.88
