,MDY.OPEN,MDY.HIGH,MDY.LOW,MDY.CLOSE
2011-12-07,161.06,162.46,158.9401,161.76
2011-12-08,160.56,161.03,157.17,157.53
2011-12-09,158.08,161.71,157.9,161.28
2011-12-12,159.35,159.39,157,158.57
2011-12-13,160,160.41,154.46,155.53
2011-12-14,154.38,154.93,152.69,153.22
2011-12-15,155.02,155.1,153.18,154.26
2011-12-16,154.83,157.24,154.53,155.22
2011-12-19,156.31,156.83,152.34,152.66
2011-12-20,155.64,158.29,155.61,157.91
2011-12-21,157.28,158.68,155.72,158.2
2011-12-22,158.74,160.37,158.58,159.804
2011-12-23,160.35,160.8,159.61,160.76
2011-12-27,160.22,161.88,159.95,161.02
2011-12-28,161.09,161.2,158.2,158.4
2011-12-29,158.89,160.68,158.57,160.45
2011-12-30,160.25,160.97,159.32,159.49
2012-01-03,163.09,163.77,160.77,161.28
2012-01-04,160.52,161.5,159.71,160.84
2012-01-05,160.05,162.41,158.45,162.08
2012-01-06,161.86,163.01,160.71,161.93
2012-01-09,162.7,163.19,161.34,162.83
2012-01-10,164.71,165.35,164.43,165.06
2012-01-11,164.46,165.64,164.27,165.4
2012-01-12,165.85,165.94,163.95,165.72
2012-01-13,164.46,165.02,163.28,164.95
2012-01-17,166.3,166.83,164.88,165.14
2012-01-18,165.34,168,164.81,167.9
2012-01-19,168.61,169.65,168.09,169.25
2012-01-20,169.24,169.35,168.54,169.13
2012-01-23,169.2,170.51,167.9,169.14
2012-01-24,168.2,169.85,167.55,169.78
2012-01-25,169.66,171.85,168.71,171.53
2012-01-26,172.61,172.72,169.63,170.4
2012-01-27,169.64,171.67,169.61,171.44
2012-01-30,169.93,171,168.67,170.42
2012-01-31,171.65,171.79,169.4,170
2012-02-01,171.51,173.71,171.33,173.51
2012-02-02,173.84,174.67,173.34,173.9
2012-02-03,176.09,176.9,175.56,176.63
2012-02-06,175.81,176.63,175.59,176.47
2012-02-07,176.09,177.08,175.24,176.66
2012-02-08,177,177.77,175.74,177.04
2012-02-09,177.64,177.7,175.62,177.27
2012-02-10,175.5,176.08,174.65,175.33
2012-02-13,177.24,177.67,175.72,177.21
2012-02-14,176.45,177.17,175.87,177.13
2012-02-15,178.08,178.33,175.93,176.58
2012-02-16,176.79,179.46,176.71,179.34
2012-02-17,180.14,180.28,178.81,179.21
2012-02-21,179.53,179.82,177.63,178.42
2012-02-22,178.21,178.97,177.12,177.73
2012-02-23,177.79,179.32,176.738,179.16
2012-02-24,179.41,180.14,178.94,179.21
2012-02-27,177.93,180.05,176.76,179.24
2012-02-28,179.42,180.02,178,179.02
2012-02-29,179.21,180.03,177.43,177.67
2012-03-01,178.43,180.04,178.36,179.35
2012-03-02,179.06,179.63,177.13,177.85
2012-03-05,177.54,177.64,176.27,177.21
2012-03-06,175.34,175.5,173.31,173.8
2012-03-07,174.21,175.72,173.9,175.53
2012-03-08,176.74,177.92,175.63,177.54
2012-03-09,177.58,180.07,177.54,179.26
2012-03-12,179.27,179.58,178.05,178.61
2012-03-13,179.66,182.1,179.21,182.1
2012-03-14,181.82,182.22,180.2,180.71
2012-03-15,180.77,182.59,180.27,182.38
2012-03-16,182.02,182.3,181.44,181.74
2012-03-19,181.52,183.35,181.26,182.35
2012-03-20,181.11,181.4478,180.29,181.01
2012-03-21,181.31,181.79,180.3,180.81
2012-03-22,179.28,179.75,177.67,178.97
2012-03-23,179.1,180.3,177.62,180.14
2012-03-26,181.78,182.84,181.5301,182.84
2012-03-27,182.77,183.11,182.02,182.09
2012-03-28,181.96,182.38,179.47,181.13
2012-03-29,179.96,181.29,178.81,180.86
2012-03-30,181.99,182.05,180.16,180.71
2012-04-02,180.47,182.8,179.88,181.77
2012-04-03,181.28,182.55,180.66,182.18
2012-04-04,180.43,180.78,178.76,179.72
2012-04-05,179.26,179.95,178.65,178.99
2012-04-09,176.28,177.12,175.71,176.8
2012-04-10,176.31,176.81,172.34,172.64
2012-04-11,174.23,175.02,172.5407,174.62
2012-04-12,174.59,178.1,174.59,177.74
2012-04-13,177.16,177.36,175.35,175.54
2012-04-16,176.41,176.9765,174.38,175.62
2012-04-17,176.81,179.38,176.76,178.42
2012-04-18,177.54,178.46,177.26,177.93
2012-04-19,177.85,179.54,176.1,177.25
2012-04-20,178.05,178.99,177.46,177.48
2012-04-23,175.28,175.81,173.74,175.76
2012-04-24,175.85,176.95,175.27,176.2
2012-04-25,178.11,179.48,177.91,179.24
2012-04-26,179,181.42,178.87,180.99
2012-04-27,181.58,182.21,180.04,181.75
2012-04-30,181.74,181.84,179.94,180.2
2012-05-01,180.5,183.16,179.8,181.14
2012-05-02,179.86,181.8,179.46,181.47
2012-05-03,181.1,181.36,177.94,178.49
2012-05-04,177.34,177.53,175.0208,175.7
2012-05-07,175.32,176.72,175.29,176.38
2012-05-08,175.17,176.17,172.78,176.05
2012-05-09,174.06,176.17,172.89,175.37
2012-05-10,176.71,176.8,174.89,175.53
2012-05-11,174.2,177.14,174.11,175.58
2012-05-14,173.77,174.9,172.81,173.61
2012-05-15,173.42,174.57,172.29,172.94
2012-05-16,173.33,174.39,171.29,171.41
2012-05-17,171.28,171.44,166.74,166.79
2012-05-18,167.06,167.975,164.59,164.71
2012-05-21,165.17,168.62,164.43,168.53
2012-05-22,168.99,170.39,167.99,169.04
2012-05-23,167.39,170.26,166.41,170.01
2012-05-24,170.21,170.83,168.62,170.64
2012-05-25,170.73,171.08,169.77,170.29
2012-05-29,171.61,172.85,170.68,172.45
2012-05-30,170.74,170.9,168.72,169.01
2012-05-31,168.97,169.57,166.49,168.57
2012-06-01,165.37,165.95,163.27,163.34
2012-06-04,163.67,164.1,160.69,162.51
2012-06-05,161.58,164.74,161.53,164.56
2012-06-06,165.88,168.2,165.65,168.1
2012-06-07,170.35,170.54,167.19,167.33
2012-06-08,167.24,168.95,166.02,168.72
2012-06-11,170.36,170.59,165.28,165.55
2012-06-12,166.16,167.31,164.92,167.22
2012-06-13,166.73,167.45,164.33,164.98
2012-06-14,165.17,166.73,164.55,166.05
2012-06-15,166.08,167.69,165.65,167.25
2012-06-18,166.26,168.9,165.76,168.61
2012-06-19,169.64,171.24,169.25,170.37
2012-06-20,170.58,171.4,169.22,170.25
2012-06-21,170.27,170.49,165.5,165.79
2012-06-22,166.57,167.03,165.49,166.54
2012-06-25,164.32,164.42,162.73,163.55
2012-06-26,164.13,165.25,162.82,164.65
2012-06-27,165.25,166.52,164.63,166.29
2012-06-28,164.75,166.79,164.07,166.79
2012-06-29,170.22,171.52,169.46,171.3
2012-07-02,172.33,172.63,170.97,172.49
2012-07-03,172.62,174.5986,172.5,174.47
2012-07-05,174.43,175.04,173.19,174.5
2012-07-06,172.78,172.99,171.54,172.49
2012-07-09,172.31,172.44,171,171.88
2012-07-10,173.07,173.22,169.25,169.96
2012-07-11,170.12,170.66,168.41,169.45
2012-07-12,168.25,169.65,166.79,168.84
2012-07-13,169.49,171.72,169.41,171.51
2012-07-16,171.15,171.23,169.5,170.46
2012-07-17,171.41,171.73,168.94,171.49
2012-07-18,171.08,173.29,170.89,172.65
2012-07-19,173.38,173.7,172.19,172.74
2012-07-20,171.4,172.2,170.93,171.14
2012-07-23,168.2,169.34,167.01,168.85
2012-07-24,169.27,169.27,165.42,166.37
2012-07-25,167.03,167.78,165.88,166.72
2012-07-26,169.36,169.99,167.82,169.2
2012-07-27,170.2,173.45,169.65,172.72
2012-07-30,172.85,173.52,171.69,172.28
2012-07-31,172.02,172.78,171.06,171.26
2012-08-01,171.82,172.37,169.43,169.46
2012-08-02,167.91,169.878,167.38,168.65
2012-08-03,171.31,172.6,171.06,171.91
2012-08-06,172.28,173.53,172.14,172.81
2012-08-07,173.98,175.47,173.7315,174.59
2012-08-08,173.81,175.05,173.81,174.73
2012-08-09,174.6,175.6,174.4,175.06
2012-08-10,174.33,175.2625,173.83,175.09
2012-08-13,175.01,175.3,173.37,174.83
2012-08-14,175.69,175.76,174.08,174.56
2012-08-15,174.46,175.79,174.22,175.79
2012-08-16,175.67,177.53,175.31,177.33
2012-08-17,177.49,178.19,177.1,178.1
2012-08-20,177.78,178.068,176.75,177.57
2012-08-21,178.17,179.24,177.3078,177.78
2012-08-22,177.56,177.97,176.58,177.41
2012-08-23,177.18,177.21,175.72,176.24
2012-08-24,176.01,177.2,175.46,176.7
2012-08-27,177.65,177.65,176.29,176.65
2012-08-28,176.46,177.74,176.15,177.4
2012-08-29,177.48,178,176.78,177.52
2012-08-30,176.52,176.91,175.38,176.22
2012-08-31,177.61,177.75,175.35,177.33
2012-09-04,177.17,179.47,175.85,179
2012-09-05,179.11,179.35,178.2,178.71
2012-09-06,179.86,182.66,179.73,182.21
2012-09-07,182.52,183.69,182.24,183.16
2012-09-10,182.84,183.38,182.27,182.42
2012-09-11,182.37,183.12,182.14,182.54
2012-09-12,183.21,183.49,182.41,183.49
2012-09-13,183.6,185.83,182.54,185.31
2012-09-14,186,187.88,185.74,187.35
2012-09-17,186.56,186.86,185.11,185.5
2012-09-18,185,185.0499,183.81,184.22
2012-09-19,184.53,185.09,183.92,184.67
2012-09-20,183.72,183.72,182.54,183.4
2012-09-21,184.22,184.64,182.74,182.74
2012-09-24,182.26,183.37,182.04,182.73
2012-09-25,183.44,183.6,179.78,179.94
2012-09-26,180.11,180.3,177.86,178.57
2012-09-27,179.26,181.02,178.745,180.68
2012-09-28,179.83,180.69,178.99,179.92
2012-10-01,180.91,180.94,177.95,178.97
2012-10-02,179.63,180.11,178.96,179.9
2012-10-03,180.3,180.72,178.94,179.86
2012-10-04,180.38,181.72,179.67,181.53
2012-10-05,182.26,183.05,181.02,181.53
2012-10-08,180.53,181.39,180.27,180.71
2012-10-09,180.64,180.97,178.72,179.11
2012-10-10,179.19,179.23,177.7501,178.23
2012-10-11,179.45,180.17,178.8,179.13
2012-10-12,178.97,179.24,177.32,177.66
2012-10-15,178.28,179.32,177.19,179.32
2012-10-16,179.85,181.17,179.76,181.17
2012-10-17,181.12,182.89,180.89,182.51
2012-10-18,182.26,182.83,181.54,182.37
2012-10-19,181.65,181.81,179.19,179.59
2012-10-22,179.61,180.02,178.31,179.48
2012-10-23,177.59,178.74,176.07,178.18
2012-10-24,178.96,179.259,177.4,177.68
2012-10-25,178.73,179.29,176.65,178.07
2012-10-26,178.13,178.67,176.3,177.56
2012-10-31,177.67,178.6,176.88,178.25
2012-11-01,178.76,182.84,177.97,182.68
2012-11-02,183.36,183.42,179.94,179.99
2012-11-05,179.92,181.2,179.38,181.1
2012-11-06,181.67,183.085,181.3,182.69
2012-11-07,180.71,180.87,177.91,178.9
2012-11-08,178.65,179.14,176.37,176.37
2012-11-09,175.56,178.1,175.54,176.8
2012-11-12,177.27,177.38,176.2501,176.54
2012-11-13,175.72,177.61,175.38,176.49
2012-11-14,176.55,176.85,172.82,173.2
2012-11-15,172.86,173.87,171.53,172.52
2012-11-16,172.66,173.92,171.55,173.76
2012-11-19,175.49,177.29,175.29,177.29
2012-11-20,176.74,178.02,176.53,177.89
2012-11-21,178.03,178.56,177.5,178.4
2012-11-23,179.19,180.66,179.15,180.55
2012-11-26,179.89,180.67,179.29,180.41
