,RWR.OPEN,RWR.HIGH,RWR.LOW,RWR.CLOSE
2011-07-28,67.63,68.35,66.99,67.7014
2011-07-29,67.13,67.8899,66.5,67.74
2011-08-01,68.47,68.47,66.25,66.73
2011-08-02,66.27,66.67,64.5501,64.59
2011-08-03,64.51,64.61,62.48,64.08
2011-08-04,63.39,63.54,60.67,60.76
2011-08-05,61.51,61.55,58.511,59.36
2011-08-08,57.63,58.14,54.14,54.26
2011-08-09,54.97,59.41,54.44,59.38
2011-08-10,58.19,60.79,57.42,57.86
2011-08-11,58.25,62.07,58,61.02
2011-08-12,61.73,62.23,60.58,60.96
2011-08-15,61.38,63.25,61.33,63.25
2011-08-16,62.5,63.39,61.905,62.99
2011-08-17,63.35,63.99,62.62,63.13
2011-08-18,61.2,61.6,59.65,60.2
2011-08-19,59.35,60.79,58.97,59.09
2011-08-22,60.42,60.57,58.41,59.17
2011-08-23,59.38,60.72,58.9085,60.72
2011-08-24,60.62,61.59,59.98,61.53
2011-08-25,61.98,62.49,59.72,60.26
2011-08-26,59.83,61.26,58.5629,61.05
2011-08-29,61.74,63.18,61.74,63.09
2011-08-30,62.97,63.74,61.99,63.34
2011-08-31,63.92,64.31,63.14,64.08
2011-09-01,64.01,64.37,62.83,63.14
2011-09-02,61.76,62.76,61.48,61.51
2011-09-06,59.53,61.63,59.52,61.42
2011-09-07,62.33,63.76,61.46,63.66
2011-09-08,63.19,64.02,62.91,63.15
2011-09-09,62.52,62.84,60.65,61.15
2011-09-12,60.14,61.4,60.02,61.33
2011-09-13,61.41,61.78,60.82,61.53
2011-09-14,61.73,62.27,60.732,62
2011-09-15,62.37,62.96,62.06,62.95
2011-09-16,62.81,62.991,61.61,62.97
2011-09-19,61.58,62.18,61.47,61.62
2011-09-20,61.71,62.3846,61.35,61.52
2011-09-21,61.54,61.54,58.2329,58.27
2011-09-22,56.81,57.75,55.95,56.74
2011-09-23,56.63,57.45,56.22,57.29
2011-09-26,57.62,58.12,56.79,58.08
2011-09-27,59.21,59.7,58.32,58.7
2011-09-28,58.83,59.11,57,57.06
2011-09-29,58.27,58.35,57.19,58.1
2011-09-30,57.23,58.045,56.45,56.5
2011-10-03,55.9,56.94,53.77,53.81
2011-10-04,53.14,56.12,52.32,55.98
2011-10-05,55.98,56.05,53.14,55.52
2011-10-06,55.25,57.01,54.77,56.89
2011-10-07,57.18,57.51,55.29,55.31
2011-10-10,56.47,58.18,56.35,58.15
2011-10-11,57.66,57.97,56.75,56.93
2011-10-12,57.42,58.86,57.01,58.04
2011-10-13,57.82,58.0568,56.44,57.51
2011-10-14,58.14,59.16,58.14,59.01
2011-10-17,58.77,58.77,57.3815,57.63
2011-10-18,57.56,59.94,57.53,59.69
2011-10-19,59.58,60.02,58.74,58.9
2011-10-20,59.05,59.38,57.91,59.29
2011-10-21,60,61.3,59.97,61.28
2011-10-24,61.56,62.94,61.19,62.9
2011-10-25,62.41,62.43,61.55,61.72
2011-10-26,62.47,62.61,61.32,62.34
2011-10-27,64.09,65.74,63.5917,65.31
