Date,Open,High,Low,Close
1988-04-13,271.33,271.7,269.23,271.57
1988-04-14,271.55,271.57,259.37,259.75
1988-04-15,259.74,260.39,255.97,259.77
1988-04-18,259.75,259.81,258.03,259.21
1988-04-19,259.24,262.38,257.91,257.92
1988-04-20,257.91,258.54,256.12,256.13
1988-04-21,256.15,260.44,254.71,256.42
1988-04-22,256.45,261.16,256.42,260.14
1988-04-25,260.15,263.29,260.14,262.46
1988-04-26,262.45,265.06,262.18,263.93
1988-04-27,263.94,265.09,263.45,263.8
1988-04-28,263.79,263.8,262.22,262.61
1988-04-29,262.59,262.61,259.97,261.33
1988-05-02,261.36,261.56,259.99,261.56
1988-05-03,261.55,263.7,261.55,263
1988-05-04,263.05,263.23,260.31,260.32
1988-05-05,260.3,260.32,258.13,258.79
1988-05-06,258.8,260.31,257.03,257.48
1988-05-09,257.47,258.22,255.45,256.54
1988-05-10,256.53,258.3,255.93,257.62
1988-05-11,257.6,257.62,252.32,253.31
1988-05-12,253.32,254.87,253.31,253.85
1988-05-13,253.88,256.83,253.85,256.78
1988-05-16,256.75,258.71,256.28,258.71
1988-05-17,258.72,260.2,255.35,255.39
1988-05-18,255.4,255.67,250.73,251.35
1988-05-19,251.36,252.57,248.85,252.57
1988-05-20,252.61,253.7,251.79,253.02
1988-05-23,253,253.02,249.82,250.83
1988-05-24,250.84,253.51,250.83,253.51
1988-05-25,253.52,255.34,253.51,253.76
1988-05-26,253.75,254.98,253.52,254.63
1988-05-27,254.62,254.63,252.74,253.42
1988-05-31,253.44,262.16,253.42,262.16
1988-06-01,262.16,267.43,262.1,266.69
1988-06-02,266.65,266.71,264.12,265.33
1988-06-03,265.34,267.11,264.42,266.45
1988-06-06,266.46,267.05,264.97,267.05
1988-06-07,267.02,267.28,264.5,265.17
1988-06-08,265.32,272.01,265.17,271.52
1988-06-09,271.5,272.29,270.19,270.2
1988-06-10,270.22,273.21,270.2,271.26
1988-06-13,271.28,271.94,270.53,271.43
1988-06-14,271.58,276.14,271.44,274.3
1988-06-15,274.29,274.45,272.75,274.45
1988-06-16,274.44,274.45,268.76,269.77
1988-06-17,269.79,270.77,268.09,270.68
1988-06-20,270.67,270.68,268.59,268.94
1988-06-21,268.95,271.67,267.52,271.67
1988-06-22,271.69,276.88,271.67,275.66
1988-06-23,275.62,275.89,274.26,274.82
1988-06-24,274.81,275.19,273.53,273.78
1988-06-27,273.78,273.79,268.85,269.06
1988-06-28,269.07,272.8,269.06,272.31
1988-06-29,272.32,273.01,269.49,270.98
1988-06-30,271,273.51,270.97,273.5
1988-07-01,273.5,273.8,270.78,271.78
1988-07-05,271.78,275.81,270.51,275.81
1988-07-06,275.8,276.36,269.92,272.02
1988-07-07,272,272.05,269.31,271.78
1988-07-08,271.76,272.31,269.86,270.02
1988-07-11,270.03,271.64,270.02,270.55
1988-07-12,270.54,270.7,266.96,267.85
1988-07-13,267.87,269.46,266.12,269.32
1988-07-14,269.33,270.69,268.58,270.26
1988-07-15,270.23,272.06,269.53,272.05
1988-07-18,271.99,272.05,268.66,270.51
1988-07-19,270.49,271.21,267.01,268.47
1988-07-20,268.52,270.24,268.47,270
1988-07-21,269.99,270,266.66,266.66
1988-07-22,266.65,266.66,263.29,263.5
1988-07-25,263.49,265.17,263.03,264.68
1988-07-26,264.7,266.09,264.32,265.19
1988-07-27,265.18,265.83,262.48,262.5
1988-07-28,262.52,266.55,262.5,266.02
1988-07-29,266.04,272.02,266.02,272.02
1988-08-01,272.03,272.8,271.21,272.21
1988-08-02,272.19,273.68,270.37,272.06
1988-08-03,272.03,273.42,271.15,272.98
1988-08-04,273,274.2,271.77,271.93
1988-08-05,271.7,271.93,270.08,271.15
1988-08-08,271.13,272.47,269.93,269.98
1988-08-09,270,270.2,265.06,266.49
1988-08-10,266.43,266.49,261.03,261.9
1988-08-11,261.92,262.77,260.34,262.75
1988-08-12,262.7,262.94,261.37,262.55
1988-08-15,262.49,262.55,258.68,258.69
1988-08-16,258.68,262.61,257.5,260.56
1988-08-17,260.57,261.84,259.33,260.77
1988-08-18,260.76,262.76,260.75,261.03
1988-08-19,261.05,262.27,260.23,260.24
1988-08-22,260.24,260.71,256.94,256.98
1988-08-23,256.99,257.86,256.53,257.09
1988-08-24,257.16,261.13,257.09,261.13
1988-08-25,261.1,261.13,257.56,259.18
1988-08-26,259.18,260.15,258.87,259.68
1988-08-29,259.68,262.56,259.68,262.33
1988-08-30,262.33,263.18,261.53,262.51
1988-08-31,262.51,263.8,261.21,261.52
1988-09-01,261.52,261.52,256.98,258.35
1988-09-02,258.35,264.9,258.35,264.48
1988-09-06,264.42,265.94,264.4,265.59
1988-09-07,265.62,266.98,264.93,265.87
1988-09-08,265.87,266.54,264.88,265.88
1988-09-09,265.88,268.26,263.66,266.84
1988-09-12,266.85,267.64,266.22,266.47
1988-09-13,266.45,267.43,265.22,267.43
1988-09-14,267.5,269.47,267.41,269.31
1988-09-15,269.3,269.78,268.03,268.13
1988-09-16,268.13,270.81,267.33,270.65
1988-09-19,270.64,270.65,267.41,268.82
1988-09-20,268.83,270.07,268.5,269.73
1988-09-21,269.76,270.64,269.48,270.16
1988-09-22,270.19,270.58,268.26,269.18
1988-09-23,269.16,270.31,268.28,269.76
1988-09-26,269.77,269.8,268.61,268.88
1988-09-27,268.89,269.36,268.01,268.26
1988-09-28,268.22,269.08,267.77,269.08
1988-09-29,269.09,273.02,269.08,272.59
1988-09-30,272.55,274.87,271.66,271.91
1988-10-03,271.89,271.91,268.84,271.38
1988-10-04,271.37,271.79,270.34,270.62
1988-10-05,270.63,272.45,270.08,271.86
1988-10-06,271.87,272.39,271.3,272.39
1988-10-07,272.38,278.07,272.37,278.07
1988-10-10,278.06,278.69,277.1,278.24
1988-10-11,278.15,278.24,276.33,277.93
1988-10-12,277.91,277.93,273.05,273.98
1988-10-13,273.95,275.83,273.39,275.22
1988-10-14,275.27,277.01,274.08,275.5
1988-10-17,275.48,276.65,275.01,276.41
1988-10-18,276.43,279.39,276.41,279.38
1988-10-19,279.4,280.53,274.41,276.97
1988-10-20,276.97,282.88,276.93,282.88
1988-10-21,282.88,283.66,281.16,283.66
1988-10-24,283.63,283.95,282.28,282.28
1988-10-25,282.28,282.84,281.87,282.38
1988-10-26,282.37,282.52,280.54,281.38
1988-10-27,281.35,281.38,276,277.28
1988-10-28,277.29,279.48,277.28,278.53
1988-10-31,278.54,279.39,277.14,278.97
1988-11-01,278.97,279.57,278.01,279.06
1988-11-02,279.07,279.45,277.08,279.06
1988-11-03,279.04,280.37,279.04,279.2
1988-11-04,279.11,279.2,276.31,276.31
1988-11-07,276.3,276.31,273.62,273.93
1988-11-08,273.95,275.8,273.93,275.15
1988-11-09,275.14,275.15,272.15,273.33
1988-11-10,273.32,274.37,272.98,273.69
1988-11-11,273.65,273.69,267.92,267.92
1988-11-14,267.93,269.25,266.79,267.72
1988-11-15,267.73,268.75,267.72,268.34
1988-11-16,268.41,268.41,262.85,263.82
1988-11-17,264.61,265.63,263.45,264.6
1988-11-18,264.6,266.62,264.6,266.47
1988-11-21,266.35,266.47,263.41,266.22
1988-11-22,266.19,267.85,265.42,267.21
1988-11-23,267.22,269.56,267.21,269
1988-11-25,268.99,269,266.47,267.23
1988-11-28,267.22,268.98,266.97,268.64
1988-11-29,268.6,271.31,268.13,270.91
1988-11-30,270.91,274.36,270.9,273.7
1988-12-01,273.68,273.7,272.27,272.49
1988-12-02,272.49,272.49,270.47,271.81
1988-12-05,274.93,275.62,271.81,274.93
1988-12-06,274.93,277.89,274.62,277.59
1988-12-07,277.59,279.01,277.34,278.13
1988-12-08,278.13,278.13,276.55,276.57
1988-12-09,276.57,277.82,276.34,277.03
1988-12-12,277.03,278.82,276.52,276.52
1988-12-13,276.52,276.52,274.58,276.31
1988-12-14,276.31,276.31,274.58,275.31
1988-12-15,275.32,275.62,274.01,274.28
1988-12-16,274.31,276.29,274.28,276.29
1988-12-19,276.03,279.31,275.61,278.91
1988-12-20,278.93,280.45,277.47,277.47
1988-12-21,277.49,277.83,276.3,277.38
1988-12-22,277.68,277.89,276.86,276.87
1988-12-23,276.87,277.99,276.87,277.87
1988-12-27,277.86,278.09,276.74,276.83
1988-12-28,276.86,277.55,276.17,277.08
1988-12-29,277.1,279.42,277.08,279.4
1988-12-30,279.39,279.78,277.72,277.72
1989-01-03,277.71,277.72,273.81,275.31
1989-01-04,275.41,279.74,275.31,279.43
1989-01-05,279.44,280.14,279.44,280.01
1989-01-06,279.99,282.06,279.99,280.67
